"","a","照片","場站編號","DDH原始編碼","場站名稱","是否啟用","車場經度","車場緯度","支援車辨","停車型態","停車設備","列表清單顯示地址","完整地址","打電話用","UI顯示用","營業時間  (UI顯示用)","平日營業時間","假日營業時間","平日人工收費","假日人工收費","營業項目_月租","營業項目_預約","營業項目_臨停","營業項目_出國停車","汽車停車位數","可月租車位數","可領取會員卡","臨停信用卡優惠","汽車停車位數_1","停車種類","收費標準","收費標準_汽車月租","收費標準_汽車臨停","收費標準_機車月租","收費標準_機車臨停","身障優免","是否可停休旅車","備註","幾分鐘內免費停車","演算法類別","Teamviewer
ID","Teamviewer
PW"
"1",NA,NA,NA,"TP408","建國民權站",NA,NA,NA,NA,"室內","平面","台北市中山區建國北路二段238號B2-B5停車場","台北市中山區建國北路二段238號B2-B5停車場","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"Y",NA,NA,"月租：平面$6600;機械$3500【24H】臨停：$40/H，當日當次最高上限$250",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"2",NA,NA,NA,"TC148","台中益文站",NA,NA,NA,NA,"室外","平面","台中市南屯區益文一街與文昌街口空地","台中市南屯區益文一街與文昌街口空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$20/H，當日當次最高上限$80",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"3",NA,NA,NA,"TC150","健行忠太站",NA,NA,NA,NA,"室外","平面","台中市北區忠太東路8號旁空地","台中市北區忠太東路8號旁空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1500【24H】臨停：$30/H,當日當次最高上限$100",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"4",NA,NA,NA,"TC149","彰化實踐站",NA,NA,NA,NA,"室外","平面","彰化縣彰化市實踐路3號對面空地","彰化縣彰化市實踐路3號對面空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"Y",NA,NA,"月租：1500【24H】臨停：$20/H，當日當次最高上限$100",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
