"","a","照片","場站編號","DDH原始編碼","場站名稱","是否啟用","車場經度","車場緯度","支援車辨","停車型態","停車設備","列表清單顯示地址","完整地址","打電話用","UI顯示用","營業時間  (UI顯示用)","平日營業時間","假日營業時間","平日人工收費","假日人工收費","營業項目_月租","營業項目_預約","營業項目_臨停","營業項目_出國停車","汽車停車位數","可月租車位數","可領取會員卡","臨停信用卡優惠","汽車停車位數_1","停車種類","收費標準","收費標準_汽車月租","收費標準_汽車臨停","收費標準_機車月租","收費標準_機車臨停","身障優免","是否可停休旅車","備註","幾分鐘內免費停車","演算法類別","Teamviewer
ID","Teamviewer
PW"
"1",NA,NA,NA,"ML08","北苗市場2站",NA,NA,NA,NA,"室內","平面","苗栗市中華路45號B1","苗栗市中華路45號B1","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1500【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"2",NA,NA,NA,"ML07","北苗市場站",NA,NA,NA,NA,"室外","平面","苗栗縣苗栗市中華路45號旁空地","苗栗縣苗栗市中華路45號旁空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1500【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"3",NA,NA,NA,"ML10","南苗市場站",NA,NA,NA,NA,"室外","平面","苗栗市民生街56號旁空地","苗栗市民生街56號旁空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1500【24H】臨停：$10/0.5H，當日當次最高上限$100",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
"4",NA,NA,NA,"ML06","頭份建國站",NA,NA,NA,NA,"室外","平面","苗栗縣頭份市建國路43號旁空地","苗栗縣頭份市建國路43號旁空地","0226550818","02-26550818","24H(無人工收費)","24H(無人工收費)","24H(無人工收費)",NA,NA,"Y",NA,"Y","N",NA,NA,NA,"N",NA,NA,"月租：1200【24H】臨停：$20/H，當日當次最高上限$60",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序",NA,NA,NA,NA
