"","a","照片","場站編號","DDH原始編碼","場站名稱","是否啟用","車場經度","車場緯度","支援車辨","停車型態","停車設備","列表清單顯示地址","完整地址","打電話用","UI顯示用","營業時間  (UI顯示用)","平日營業時間","假日營業時間","平日人工收費","假日人工收費","營業項目_月租","營業項目_預約","營業項目_臨停","營業項目_出國停車","汽車停車位數","可月租車位數","可領取會員卡","臨停信用卡優惠","汽車停車位數_1","停車種類","收費標準","收費標準_汽車月租","收費標準_汽車臨停","收費標準_機車月租","收費標準_機車臨停","身障優免","是否可停休旅車","備註","幾分鐘內免費停車","演算法類別","Teamviewer
ID","Teamviewer
PW"
"1",NA,NA,NA,"KE08","基隆成功站",NA,NA,NA,NA,"室內　","平面　","基隆市成功一路88號3F-12F　","基隆市成功一路88號3F-12F　","(02)2433-4943;(02)2655-0818　","(02)2433-4943;(02)2655-0818　","24H　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：3500【24H】 
              
              臨停：平日$10/0.5H;假日$15/0.5H 
              
               ",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"2",NA,NA,NA,"TP357","七星公園站",NA,NA,NA,NA,"室內　","平面　","台北市北投區七星街3號地下停車場　","台北市北投區七星街3號地下停車場　","(02)2891-6295;(02)2655-0818　","(02)2891-6295;(02)2655-0818　","24H　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：4800【24H】 
              
              臨停：汽車:$15/0.5H，機車:$20/次 
              
               ",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"3",NA,NA,NA,"TP394","八德監理所站",NA,NA,NA,NA,"室內　","車塔　","台北市松山區八德路四段32號　","台北市松山區八德路四段32號　","02-27485015;02-2655-0818　","02-27485015;02-2655-0818　","08:00-23:00　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：5000【24H】 
              
              臨停：$40/H, 當日當次最高上限$180 
              
               ",NA,NA,NA,NA,"N","Y","　",NA,NA,NA,NA
"4",NA,NA,NA,"TP310","士東國小站",NA,NA,NA,NA,"室外　","平面　","台北市士林區中山北路6段424號停車場　","台北市士林區中山北路6段424號停車場　","02-26550818　","02-26550818　","24H(無人工收費)　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：6000【24H】 
              
              臨停：平日：$30/H,當日當次最高上限$180；假日：$30/H 
              
               ",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"5",NA,NA,NA,"TP273","士林社中站",NA,NA,NA,NA,"室外　","平面　","台北市士林區社中街94號旁　","台北市士林區社中街94號旁　","　","　","24H(無人工收費)　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：3500【24H】 
              
              臨停：$10/0.5H[102/9/1~102/10/28整地工程暫停營業] 
              
               ",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"6",NA,NA,NA,"TP182","士林社正站",NA,NA,NA,NA,"室外　","平面　","台北市社中街7號旁　","台北市社中街7號旁　","　","　","24H(無人工收費)　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：5000【24H】 
              
              月租：3000【日】 
              
              臨停：$15/0.5H 
              
               ",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"7",NA,NA,NA,"TP244","士林國小站",NA,NA,NA,NA,"室外　","平面　","台北市士林區文林路437號旁(士林國小旁)　","台北市士林區文林路437號旁(士林國小旁)　","　","　","24H(無人工收費)　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：6000【24H】 
              
              月租：平日7~18時$3000【日】 
              
              臨停：11:00~22:00-$80/H；22:00~11:00-$30/H[1/27~2/1農曆春節期間調整為$100/H] 
              
               ",NA,NA,NA,NA,"Y","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"8",NA,NA,NA,"TP266","士林基河站",NA,NA,NA,NA,"室外　","平面　","台北市士林區基河路240巷10號對面　","台北市士林區基河路240巷10號對面　","02-26550818　","02-26550818　","24H(無人工收費)　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：一般3500；平日1500【日】 
              
              臨停：平日:$30/H,平日當日最高上限$120(限當日當次使用)；假日:$60/H 
              
               ",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"9",NA,NA,NA,"TP261","士林福林1站",NA,NA,NA,NA,"室外　","平面　","台北市士林區中山北路5段465號　","台北市士林區中山北路5段465號　","　","　","24H　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"月租：無棚$4500;有棚$6000【24H】 
              
              臨停：0:00~18:00-15/0.5H;18:00~0:00-25/0.5H,當日當次最高上限$150(1/27~2/1春節期間費率調整為$30/0.5H，無計次收費） 
              
               ",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
"10",NA,NA,NA,"TP262","士林福林2站",NA,NA,NA,NA,"室外　","平面　","台北市士林區中山北路5段505巷口　","台北市士林區中山北路5段505巷口　","　","　","24H　",NA,NA,NA,NA,"Y","月租/臨停　","Y","N",NA,NA,NA,"Y",NA,NA,"臨停：$25/0.5H(1/27~2/1春節期間費率調整為$30/0.5H，無計次收費） 
              
               ",NA,NA,NA,NA,"N","Y","本停車場採自動繳費系統,請逕至繳費機完成結帳程序　",NA,NA,NA,NA
